2025-01-07 22:35:01,409 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:35:01,411 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:35:01,413 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:35:01,415 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:35:01,426 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:35:01,427 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:35:01,429 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:35:01,431 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:35:01,437 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:35:01,439 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:35:01,441 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:35:01,443 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:35:01,449 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:35:01,451 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:35:01,453 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:35:01,455 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:35:01,749 [INFO] main           :191       No messages in the queue.
2025-01-07 22:35:01,829 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:35:04,067 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:35:04,069 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:35:04,071 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:35:04,094 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:35:04,095 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:35:04,097 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:35:04,099 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:35:04,105 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:35:04,107 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:35:04,109 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:35:04,111 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:35:04,118 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:35:04,119 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:35:04,121 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:35:04,123 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:35:04,129 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:35:04,131 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:35:04,133 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:35:04,135 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:35:04,153 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:35:04,155 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:35:04,157 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:35:04,159 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:35:04,449 [INFO] main           :191       No messages in the queue.
2025-01-07 22:35:04,521 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:35:06,747 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:35:06,749 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:35:06,751 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:35:06,769 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:35:06,771 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:35:06,773 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:35:06,775 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:35:06,782 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:35:06,783 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:35:06,785 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:35:06,787 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:35:06,793 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:35:06,795 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:35:06,797 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:35:06,799 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:35:06,809 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:35:06,811 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:35:06,813 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:35:06,814 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:35:06,825 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:35:06,827 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:35:06,829 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:35:06,831 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:35:07,153 [INFO] main           :191       No messages in the queue.
2025-01-07 22:35:07,225 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:35:09,562 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:35:09,563 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:35:09,565 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:35:09,577 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:35:09,578 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:35:09,579 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:35:09,580 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:35:09,593 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:35:09,594 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:35:09,595 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:35:09,596 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:35:09,609 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:35:09,610 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:35:09,611 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:35:09,612 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:35:09,625 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:35:09,626 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:35:09,627 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:35:09,628 [INFO] main           :69        Reading tag: tag_5
